"","knockout_1","knockout_2","knockout_3","wtGATA3_1","wtGATA3_2","wtGATA3_3"
"DDX52",2440.71404196117,2025.29377091151,1984.90831347225,1889.66098907976,2097.47012517951,2421.93243517589
"DDX54",3485.89159109488,2892.57750155952,2834.89793563344,2670.08681770544,2963.72066954725,3422.18519930689
"DDX55",1740.23997894529,1444.04347607107,1415.2484651048,1321.54343753368,1466.87574933946,1693.79001543306
"DDX56",2852.93109095941,2367.34966408318,2320.14342641246,2185.36324355155,2425.69124435753,2800.92680792241
"DDX58",4720.72187590295,3917.2342376453,3839.12246005719,4947.22946999642,5491.28445561996,6340.74343857696
"DDX59",611.219410466643,507.187176947455,497.073589258332,445.383356401986,494.36289879714,570.836993085609
"DDX5",21029.2236059557,17449.9572026984,17101.9955815015,18145.978152935,20141.521303499,23257.2579476218
"DDX60L",1059.12994475982,878.861367136778,861.336394292204,1021.95765947637,1134.34402908107,1309.81822515561
"DDX60",442.602535397735,367.269636065352,359.946080110616,375.816537756956,417.145702350285,481.674897100103
"DDX6",6349.17802001289,5268.51997950892,5163.46283053809,5148.55552277131,5714.7506665202,6598.77813373087
"DEAF1",1170.29122441114,971.102507792266,951.738196520055,1138.15441257565,1263.31913079352,1458.74477167353
"DEC1",0.209706910224256,0.174013871224756,0.170543940150498,0.318549500528944,0.353580914572244,0.408277131188404
"DECR1",1258.32337949605,1044.15120266933,1023.33026075897,1550.68362024786,1721.2148559298,1987.47340304845
"DECR2",119.585668121661,99.2316611340838,97.2529279325524,113.729720577161,126.236765554321,145.76461106045
"DEDD2",730.821893246074,606.432790810558,594.340191694911,600.095085208577,666.088531628629,769.127245286505
"DEDD",919.369743911947,762.888967530675,747.676547302264,794.206949107954,881.547197402391,1017.91569038178
"DEF6",518.595065543678,430.327903152109,421.74693111374,267.101041176575,296.47458327699,342.336894730428
"DEF8",1141.1603622701,946.92984658689,928.047551303828,1054.9753527255,1170.99273252185,1352.13619789087
"DEFB132",0.209706910224256,0.174013871224756,0.170543940150498,0.318549500528944,0.353580914572244,0.408277131188404
"DEGS1",4482.53062916349,3719.58418933426,3645.41366102493,3753.94087780151,4166.7679485267,4811.33453260719
"DEK",17907.3968096784,14859.4790657001,14563.172985073,12155.1814508288,13491.9068058156,15578.9998213102
"DENND1A",855.435531146704,709.836639140114,695.68211114494,894.95234991453,993.371736122394,1147.03861524412
"DENND1B",643.622046408728,534.074741654498,523.425001326327,866.916097015216,962.252290243943,1111.10523319832
"DENND1C",1.42459768800282,1.18212489212735,1.15855267993543,0.16355019981538,0.181536085076803,0.209618305083001
"DENND2A",333.001711594197,276.323354805089,270.813317078596,50.5406025742563,56.0986360096777,64.7766585516141
"DENND2C",134.532151489721,111.634187256333,109.408140949887,118.571469086134,131.610969133635,151.970162122048
"DENND2D",185.890735291817,154.251314076173,151.175459121674,307.549324387818,341.371030915303,394.178473522927
"DENND3",985.074762948025,817.410703171802,801.111089931753,673.949825869222,748.065199948389,863.785066414847
"DENND4A",712.173833625303,590.958713003727,579.174675401306,675.018060999304,749.250910657857,865.154197346211
"DENND4B",1863.06745736238,1545.96517712172,1515.13779209741,1505.85046082856,1671.45132001366,1930.01183528761
"DENND4C",1163.75173955831,965.676072040385,946.419966843387,1113.49050584473,1235.94289355452,1427.13364352146
"DENND5A",2101.05879679675,1743.44934323076,1708.68401670884,1558.25594792537,1729.6199249731,1997.17867088111
"DENND5B-AS1",1.10158998894688,0.914094524944798,0.895866983803444,1.75360066998509,1.94644702835279,2.24754724023346
"DENND5B",1217.33613568539,1010.14016813214,989.99742471698,1176.18716042782,1305.53440266472,1507.49041766736
"DENND6A",1603.77147402758,1330.80251126171,1304.26558661871,1573.18950029747,1746.19574473353,2016.31864099819
"DENND6B",13.0200549891542,10.8039843312701,10.5885470176064,15.965077925883,17.7207838809276,20.4620512791749
"DENR",6273.2438875808,5205.51017058812,5101.70947141879,5575.90162291852,6189.09272223848,7146.49721507597
"DEPDC1B",1242.05866857299,1030.6548171232,1010.10300046859,930.519912431918,1032.85072216105,1192.62469327548
"DEPDC1",3561.32478111569,2955.17163067199,2896.24390382548,2534.49585196305,2813.21854163519,3248.40156311707
"DEPDC4",52.9721059397587,43.9560203888747,43.0795134760948,42.6889704116512,47.3835469063234,54.7134129675773
"DEPDC5",308.112738009018,255.67059405564,250.572383592051,259.041171958465,287.528356945636,332.006756787474
"DEPDC7",75.534586182544,62.67826720125,61.4284285216577,212.619751699257,236.001896525076,272.509553816977
"DEPTOR",46.270878758309,38.3953715645054,37.6297470084762,39.788944265959,44.1646001015893,50.9965201356358
"DERA",741.65689584116,615.423628281222,603.151746984772,560.434342024701,622.066231093596,718.295037353278
"DERL1",3599.18431438734,2986.58730476836,2927.03313232302,3473.55610045506,3855.54879470075,4451.97219697701
"DERL2",1634.40448201557,1356.22164648023,1329.17785047948,1461.64854154348,1622.38844275058,1873.35931262232
"DERL3",29.9567344208512,24.8579663886597,24.3622850420648,17.2614582364928,19.159729272767,22.1235903281016
"DESI1",1495.54964637866,1241.00051494185,1216.25429086408,1780.47439043057,1976.27609616577,2281.99063276624
"DESI2",2730.62197563515,2265.85809844574,2220.67565769939,2169.98463682753,2408.62142688396,2781.21642248927
"DES",0.408451114710774,0.338930937473073,0.33217247055496,0.3185502455427,0.353581741516392,0.408278086054378
"DET1",100.984369039722,83.7963850165914,82.1254396015328,47.1776245891649,52.3658257880937,60.4664116301059
"DEXI",298.939669524614,248.058822196172,243.112394596324,266.927688508154,296.282166729665,342.114712840238
"DFFA",844.364374495427,700.649842072892,686.678503799273,734.387647389251,815.149468397475,941.246749275757
"DFFB",186.326592836147,154.612986748333,151.529919844379,133.958988187682,148.690679093592,171.691970332249
"DFNA5",1820.40180673422,1510.56140799371,1480.43999334854,943.985181172269,1047.7967887167,1209.88280004652
"DFNB31",223.630444625967,185.567558796529,181.867240918935,237.846637666145,264.003024755292,304.842238734944
"DFNB59",22.568801530753,18.7274921893121,18.3540558268357,13.5445041086972,15.0340155681567,17.3596608115416
"DGAT1",843.79746287555,700.179421305586,686.217463477486,786.900907387204,873.437698221773,1008.55171477002
"DGAT2",506.465479542856,420.262826068576,411.882557132156,254.951985188817,282.989475561524,326.765745765848
"DGCR11",61.9548302363944,51.4098454790002,50.3847052468172,58.7701854883397,65.2332397321071,75.3243144024629
"DGCR14",487.130849024682,404.219034752544,396.158687726054,434.909719170878,482.737458402715,557.413187508378
"DGCR2",1320.02353821403,1095.34972284311,1073.5078546419,1435.2627377788,1593.10094862064,1839.54127100789
"DGCR5",10.5363402052014,8.74300873389179,8.56866839266083,8.12108229462796,9.01417111087295,10.4085932512532
"DGCR6L",364.506907932476,302.46622807835,296.434887264334,308.844746556344,342.808912796593,395.838784544497
"DGCR6",17.0602830474941,14.1565477938226,13.874258544418,12.5557090322786,13.9364810660962,16.0923462608577
"DGCR8",1201.24740289632,996.789808467143,976.913278472377,897.707185588462,996.429525619687,1150.56942098696
"DGCR9",0.40844875371703,0.338928978330855,0.332170550479101,0.163551490035696,0.181537517184775,0.209619958726935
"DGKA",450.863542803432,374.124583655513,366.664336323888,368.615627385795,409.152895987192,472.445665776869
"DGKB",0.209707428945979,0.174014301657759,0.170544362000433,0.599530683658362,0.665462061908916,0.768403865575102
"DGKD",1849.5547159264,1534.7523637451,1504.14856830759,1950.24538988716,2164.71709248199,2499.58198513701
"DGKE",136.790566046994,113.508209717115,111.244794385287,108.55956097381,120.498034970842,139.138143503171
"DGKH",187.605110452156,155.67389503959,152.569673048281,149.459527956439,165.895838789965,191.558634377088
"DGKI",11.1423321100079,9.24585814964773,9.06149071804103,18.367817473431,20.3877566600098,23.5415839980677
"DGKQ",598.06749971941,496.273779288403,486.377810674106,581.389851498082,645.326252511373,745.153203120849
"DGKZ",517.375107412564,429.315587263709,420.754801353798,418.50827210421,464.532317146768,536.391852536581
"DGUOK-AS1",68.7032406844483,57.0096467703533,55.8728434599699,41.7953866142548,46.391694224697,53.5681283927416
"DGUOK",1520.39038070325,1261.61324696515,1236.45599381901,1401.63440526076,1555.77445290325,1796.44065680408
"DHCR24",14054.3245789889,11662.2166852956,11429.6657525095,8996.00552462615,9985.31109172234,11529.9610316472
"DHCR7",4080.42913277742,3385.92213720359,3318.40501137787,3528.10498309002,3916.09650794136,4521.88617039324
"DHDDS",825.458210935687,684.961590753369,671.303084729106,888.43072847924,986.132921219985,1138.68001199446
"DHDH",9.32309828295694,7.73626592605513,7.58200058303042,5.90705448827482,6.55666301445829,7.57092777179632
"DHFRL1",124.095322444124,102.973752444752,100.920399910692,118.474493695871,131.503329199737,151.845871127818
"DHFR",2016.75926007627,1673.49795864597,1640.12750071326,1483.44916848261,1646.58652059591,1901.30064484868
"DHH",7.93185444871804,6.58181791499726,6.45057289212859,7.22407048892939,8.01851343721673,9.25891508172343
"DHODH",204.41625069205,169.623705228096,166.241316447482,153.373454719575,170.240186535545,196.575018919777
"DHPS",2049.97518526194,1701.06038718821,1667.14031946516,1730.54624163549,1920.85726648766,2217.99894129677
"DHRS11",368.696755287357,305.942944974728,299.84227653809,342.683908300694,380.369422978082,439.209613429374
"DHRS12",137.120312551411,113.78183191533,111.512960408304,110.050156069483,122.152553268029,141.04860290874
